类别,模块/器件,数量,源码接口或用途,当前公开状态,实物待确认
主控,ESP32 开发板,1,PlatformIO env:esp32dev,精确板型未确认,是
温湿度,DHT11 或兼容模块,1,GPIO4 与 DHT11 驱动入口,型号/供电/上拉/线长/读数待确认,是
光照,BH1750 或兼容模块,1,GPIO21/GPIO22 I²C,地址/供电/上拉/读数待确认,是
气压,BMP280 或兼容模块,1,GPIO21/GPIO22 I²C 和源码地址 0x76,实际地址/型号/供电/读数待确认,是
模拟输入,标记为 LM386/模拟麦克风的输入模块,1,GPIO34 ADC 峰峰值采样,模块型号/输出范围/偏置/标定待确认,是
模拟输入,MQ-2 或兼容模块,1,GPIO35 ADC 平均值采样,型号/预热/供电/输出范围/电平调理待确认,是
指示,状态 LED 或开发板板载 LED,按实物,GPIO2 Wi-Fi 尝试状态指示,是否存在/极性/限流待确认,是
保护,ADC 输入分压或电平调理,按实物,ESP32 GPIO/ADC 不得超过 3.3V,必须按实际模块资料设计,是
连接,面包板/杜邦线/低压稳定电源,按实物,原工程无实物材料,电流能力/接线/共地待确认,是
网络,隔离可信局域网,1,可选 ESP32 STA 和 Flutter 本地 HTTP,无认证无 TLS 且不用于公网,是
